serial_number,fold,true_biotreat,predicted_biotreat,confidence,served_population,population_bucket,N2O_true_EF,N2O_pred_EF_mean,N2O_pred_EF_p2.5,N2O_pred_EF_p97.5,CH4_true_EF,CH4_pred_EF_mean,CH4_pred_EF_p2.5,CH4_pred_EF_p97.5
9894,1,SBR,A2O,0.3366593037843704,27500.0,large: 10000+,1.8718395132955983,0.6984505653381348,0.10522375255823135,1.7640846967697144,0.016693715234024208,0.02230009436607361,0.007709628902375698,0.050292354077100754
9902,1,A2O,OD,0.5398113622069359,21000.0,large: 10000+,0.7608954837154249,0.5448861122131348,0.10525202006101608,1.3823111057281494,0.021417300864190157,0.023190472275018692,0.008065898902714252,0.05601011589169502
9908,1,TF,TF,0.6070666822344065,45500.0,large: 10000+,0.0923952398300473,0.31586524844169617,0.0676499605178833,0.7667987942695618,0.03271917119861291,0.029022106900811195,0.008667560294270515,0.050973426550626755
9917,1,AO,OD,0.3886811711788177,159500.0,large: 10000+,0.45442625910922374,0.708275318145752,0.10375572741031647,1.96739661693573,0.0169423506541553,0.02251299098134041,0.007436464540660381,0.05274881795048714
9918,1,SBR,OD,0.3920420774705708,88500.0,large: 10000+,1.8718395132955983,0.7575326561927795,0.11121608316898346,2.156177043914795,0.016693715234024208,0.022190511226654053,0.007419412024319172,0.050550028681755066
9924,1,SBR,OD,0.44768208354339,33500.0,large: 10000+,1.8718395132955983,0.6804438233375549,0.11102510988712311,1.943016767501831,0.016693715234024208,0.022974053397774696,0.007645099423825741,0.05310482904314995
9925,1,AO,OD,0.3598280939087271,10500.0,large: 10000+,0.45442625910922374,0.7193695306777954,0.11355895549058914,2.0588934421539307,0.0169423506541553,0.02350670099258423,0.00875322986394167,0.04921671003103256
9929,1,A2O,OD,0.3994237765297294,40000.0,large: 10000+,0.7608954837154249,0.6035261750221252,0.09936229139566422,1.562516450881958,0.021417300864190157,0.02313053049147129,0.008114662021398544,0.05115419998764992
9938,1,SBR,OD,0.3039245048686862,20500.0,large: 10000+,1.8718395132955983,0.7005155086517334,0.10833603888750076,1.8817819356918335,0.016693715234024208,0.023466141894459724,0.008502024225890636,0.04882008582353592
9939,1,A2O,OD,0.413551788508892,47500.0,large: 10000+,0.7608954837154249,0.5845471620559692,0.0981932133436203,1.5295859575271606,0.021417300864190157,0.023175982758402824,0.008007205091416836,0.052732907235622406
9945,1,AO,OD,0.2724730180501938,14500.0,large: 10000+,0.45442625910922374,0.6795510649681091,0.10451111942529678,1.8203470706939697,0.0169423506541553,0.023828163743019104,0.00870576687157154,0.048858173191547394
9975,1,OD,AO,0.6580693379566074,69000.0,large: 10000+,0.1650154106879044,0.587343692779541,0.08052524924278259,1.4584110975265503,0.02294083003071408,0.019467754289507866,0.004517031833529472,0.047387368977069855
9986,1,OD,SBR,0.2700260364413261,96500.0,large: 10000+,0.1650154106879044,0.7584162354469299,0.11176243424415588,2.239292860031128,0.02294083003071408,0.021395767107605934,0.006681306287646294,0.0447692908346653
